case,symbol,block_rms_error,filtered_mean_error
Measured FIR plus residual clock,5440,988.1290812692439,946.1948029718425
Measured FIR plus residual clock,5600,993.0672812050551,960.2565464418063
Measured FIR plus residual clock,5760,1014.6972424078032,976.5887552316053
Measured FIR plus residual clock,5920,958.6203954120734,971.1982472857458
Measured FIR plus residual clock,6080,932.3679028420058,959.5491439526238
Measured FIR plus residual clock,6240,929.7469817106157,950.6084952800213
Measured FIR plus residual clock,6400,930.4988749321517,944.5756091756605
Measured FIR plus residual clock,6560,974.7385130125925,953.62448032674
Measured FIR plus residual clock,6720,855.3282447399945,924.1356096507163
Measured FIR plus residual clock,6880,916.1889713645323,921.7516181648612
Measured FIR plus residual clock,7040,763.6872028193219,874.3322935611993
Measured FIR plus residual clock,7200,821.1160012446476,858.3674058662338
Measured FIR plus residual clock,7360,812.4230425092582,844.584096859141
Measured FIR plus residual clock,7520,753.5335468643715,817.2689318607102
Measured FIR plus residual clock,7680,666.7901984507571,772.1253118377242
Measured FIR plus residual clock,7840,718.4651696498586,756.0272691813645
Measured FIR plus residual clock,8000,620.0428765416146,715.2319513894396
Measured FIR plus residual clock,8160,585.7149317287378,676.376845491229
Measured FIR plus residual clock,8320,575.941940433235,646.2463739738308
Measured FIR plus residual clock,8480,533.9639149792803,612.5616362754656
Measured FIR plus residual clock,8640,474.31032167769655,571.0862418961349
Measured FIR plus residual clock,8800,541.5200654177091,562.2163889526071
Measured FIR plus residual clock,8960,473.2185145363609,535.5170266277332
Measured FIR plus residual clock,9120,478.7806321792894,518.4961082932001
Measured FIR plus residual clock,9280,424.5380651366848,490.3086953462455
Measured FIR plus residual clock,9440,406.1126844854763,465.04989208801476
Measured FIR plus residual clock,9600,417.59507899399387,450.8134481598085
Measured FIR plus residual clock,9760,395.2058482613839,434.13116819028113
Measured FIR plus residual clock,9920,433.1461791358663,433.8356714739567
"Measured SIP capture, clock corrected",160,3153.2952406966274,945.9885722089883
"Measured SIP capture, clock corrected",320,3005.9819225587503,1563.986577313917
"Measured SIP capture, clock corrected",480,2849.3349882033876,1949.5911005807584
"Measured SIP capture, clock corrected",640,3001.529080110669,2265.1724944397315
"Measured SIP capture, clock corrected",800,2810.0253757751016,2428.6283588403426
"Measured SIP capture, clock corrected",960,3012.197562619358,2603.6991199740473
"Measured SIP capture, clock corrected",1120,2897.9205475650983,2691.9655482513626
"Measured SIP capture, clock corrected",1280,2432.678306671476,2614.1793757773967
"Measured SIP capture, clock corrected",1440,1647.2807384444218,2324.1097845775043
"Measured SIP capture, clock corrected",1600,1799.8680802353267,2166.837273274851
"Measured SIP capture, clock corrected",1760,1880.0232528482195,2080.7930671468616
"Measured SIP capture, clock corrected",1920,1775.1460432877066,1989.098959989115
"Measured SIP capture, clock corrected",2080,1649.5953859962144,1887.247887791245
"Measured SIP capture, clock corrected",2240,714.829743715243,1535.5224445684444
"Measured SIP capture, clock corrected",2400,574.3194777299478,1247.1615545168954
"Measured SIP capture, clock corrected",2560,524.9162730855275,1030.487970087485
"Measured SIP capture, clock corrected",2720,565.542587918894,891.0043554369076
"Measured SIP capture, clock corrected",2880,500.05120987754844,773.7184117690999
"Measured SIP capture, clock corrected",3040,521.0639056296262,697.9220599272578
"Measured SIP capture, clock corrected",3200,534.8394034661246,648.9972629889178
"Measured SIP capture, clock corrected",3360,506.8124283203797,606.3418125883563
"Measured SIP capture, clock corrected",3520,489.5835028368501,571.3143196629044
"Measured SIP capture, clock corrected",3680,542.5654165628325,562.6896487328828
"Measured SIP capture, clock corrected",3840,527.6192045405475,552.1685154751822
"Measured SIP capture, clock corrected",4000,491.57672976860897,533.9909797632102
"Measured SIP capture, clock corrected",4160,509.12847101689374,526.5322271393153
"Measured SIP capture, clock corrected",4320,554.4464187367432,534.9064846185437
"Measured SIP capture, clock corrected",4480,566.354841287686,544.3409916192863
"Measured SIP capture, clock corrected",4640,518.3735019269408,536.5507447115826
"Measured SIP capture, clock corrected",4800,588.5432386409685,552.1484928903984
"Measured SIP capture, clock corrected",4960,547.6558225747262,550.8006917956967
"Measured SIP capture, clock corrected",5120,559.5918992891159,553.4380540437224
"Measured SIP capture, clock corrected",5280,555.3484041572461,554.0111590777796
"Measured SIP capture, clock corrected",5440,585.662888315454,563.5066778490819
"Measured SIP capture, clock corrected",5600,541.7328504438327,556.9745296275072
"Measured SIP capture, clock corrected",5760,568.1878925584388,560.3385385067867
"Measured SIP capture, clock corrected",5920,509.77667904681556,545.1699806687953
"Measured SIP capture, clock corrected",6080,504.89725439934807,533.0881627879612
"Measured SIP capture, clock corrected",6240,571.8642212098953,544.7209803145414
"Measured SIP capture, clock corrected",6400,549.80942721092,546.2475143834549
"Measured SIP capture, clock corrected",6560,543.7917397772791,545.5107820016021
"Measured SIP capture, clock corrected",6720,536.0531398564884,542.673489358068
"Measured SIP capture, clock corrected",6880,539.5958962501476,541.7502114256919
"Measured SIP capture, clock corrected",7040,461.5981477432508,517.7045923209596
"Measured SIP capture, clock corrected",7200,534.0630112636522,522.6121180037674
"Measured SIP capture, clock corrected",7360,520.4682927422189,521.9689704253028
"Measured SIP capture, clock corrected",7520,476.4090023288813,508.3009799963764
"Measured SIP capture, clock corrected",7680,445.3591177353395,489.4184213180653
"Measured SIP capture, clock corrected",7840,525.695146924527,500.3014390000038
"Measured SIP capture, clock corrected",8000,465.8996941402731,489.98091554208463
"Measured SIP capture, clock corrected",8160,425.6925753991958,470.694413499218
"Measured SIP capture, clock corrected",8320,431.53199475821026,458.9456878769157
"Measured SIP capture, clock corrected",8480,432.54530832041166,451.0255740099645
"Measured SIP capture, clock corrected",8640,379.14986318077445,429.4628607612075
"Measured SIP capture, clock corrected",8800,414.63098804840917,425.01329894736796
"Measured SIP capture, clock corrected",8960,374.5865303905094,409.8852683803104
"Measured SIP capture, clock corrected",9120,364.8458749938116,396.3734503643608
"Measured SIP capture, clock corrected",9280,337.7397481789788,378.7833397087462
"Measured SIP capture, clock corrected",9440,356.58965387402924,372.12523395833114
"Measured SIP capture, clock corrected",9600,371.5073855255101,371.9398794284848
"Measured SIP capture, clock corrected",9760,359.56484116220264,368.2273679486002
"Measured SIP capture, clock corrected",9920,375.32052968096485,370.35531646830964
Measured SIP capture,160,3143.281041563099,942.9843124689298
Measured SIP capture,320,2978.156534460538,1553.5359790664124
Measured SIP capture,480,2802.539153383945,1928.2369313616723
Measured SIP capture,640,2951.0008535241054,2235.0661080104023
Measured SIP capture,800,2742.45926701747,2387.284055712523
Measured SIP capture,960,2939.238451538085,2552.8703744601917
Measured SIP capture,1120,2893.6565146886387,2655.106216528726
Measured SIP capture,1280,2371.088656872619,2569.9009486318937
Measured SIP capture,1440,1567.3390288160376,2269.132372687137
Measured SIP capture,1600,1784.5287578237567,2123.7512882281226
Measured SIP capture,1760,1839.4222326589402,2038.452571557368
Measured SIP capture,1920,1832.2971067760818,1976.6059321229823
Measured SIP capture,2080,1645.4864022531453,1877.2700731620312
Measured SIP capture,2240,483.7995065107032,1459.2289031666328
