path,frequency_hz,q25_db_rel_3600,median_db_rel_3600,q75_db_rel_3600
SIP D/A-A/D,129.8828125,-6.732680268012688,-6.318207088090255,-6.0186439948826065
SIP D/A-A/D,130.37109375,-6.634005796035547,-6.218546501270819,-5.93097586404727
SIP D/A-A/D,130.859375,-6.535713654027722,-6.119459210199506,-5.837828900578674
SIP D/A-A/D,131.34765625,-6.437808477603319,-6.020943967010997,-5.741440813254582
SIP D/A-A/D,131.8359375,-6.3407461959234706,-5.922999455124747,-5.645554299919449
SIP D/A-A/D,132.32421875,-6.244197291398338,-5.82562429370923,-5.550169685796665
SIP D/A-A/D,132.8125,-6.1479343957534365,-5.728817041930477,-5.455287233498484
SIP D/A-A/D,133.30078125,-6.055563552534095,-5.6325762029946285,-5.360907144799836
SIP D/A-A/D,133.7890625,-5.968337232291023,-5.536900227993391,-5.2670295623874805
SIP D/A-A/D,134.27734375,-5.881224858853256,-5.441787519561253,-5.173654571583625
SIP D/A-A/D,134.765625,-5.794234162105757,-5.3472364353529835,-5.080782202043182
SIP D/A-A/D,135.25390625,-5.707372819196984,-5.253245291349233,-4.98841242942379
SIP D/A-A/D,135.7421875,-5.620648447656923,-5.161372821181622,-4.896545177028156
SIP D/A-A/D,136.23046875,-5.5340685989197675,-5.076147779375676,-4.80518031741797
SIP D/A-A/D,136.71875,-5.447640752244372,-4.991414767695112,-4.714317673999029
SIP D/A-A/D,137.20703125,-5.361372309024593,-4.907170378637041,-4.62395702257717
SIP D/A-A/D,137.6953125,-5.27527058748147,-4.823411264804225,-4.5340980928846895
SIP D/A-A/D,138.18359375,-5.18934281772797,-4.740134137957755,-4.444596887116379
SIP D/A-A/D,138.671875,-5.103596137197143,-4.6573357680811185,-4.3532533110426535
SIP D/A-A/D,139.16015625,-5.018037586423607,-4.57501298245549,-4.262469203355609
SIP D/A-A/D,139.6484375,-4.932674105168183,-4.493162664746347,-4.172242233652092
SIP D/A-A/D,140.13671875,-4.847512528875119,-4.411781754101504,-4.08257008299001
SIP D/A-A/D,140.625,-4.7625595854510125,-4.330867244260444,-3.9934504441395955
SIP D/A-A/D,141.11328125,-4.677821892354358,-4.2504161826749005,-3.904881021817438
SIP D/A-A/D,141.6015625,-4.593305953984605,-4.1704256696408635,-3.816859532904143
SIP D/A-A/D,142.08984375,-4.498569502968692,-4.090892857441721,-3.7293837066462565
SIP D/A-A/D,142.578125,-4.400281742126555,-4.011814949502671,-3.6484482640980618
SIP D/A-A/D,143.06640625,-4.302575086914954,-3.933189199556205,-3.572470243718958
SIP D/A-A/D,143.5546875,-4.205450702136263,-3.854363640137532,-3.494770260869725
SIP D/A-A/D,144.04296875,-4.108909582819658,-3.7734660783509306,-3.41139074877029
SIP D/A-A/D,144.53125,-4.012952561727888,-3.6930485962950432,-3.3285051205239764
SIP D/A-A/D,145.01953125,-3.917580316597208,-3.613109817767701,-3.246112577615544
SIP D/A-A/D,145.5078125,-3.8227933771168736,-3.5336483639210283,-3.164212295835865
SIP D/A-A/D,145.99609375,-3.7332546910083746,-3.454662853748095,-3.082803426311348
SIP D/A-A/D,146.484375,-3.650916752399583,-3.3761519045492308,-3.0018850965065447
SIP D/A-A/D,146.97265625,-3.5690329378715075,-3.2981141323787164,-2.9250827800327786
SIP D/A-A/D,147.4609375,-3.4876033026723157,-3.2205481524724893,-2.849460109898618
SIP D/A-A/D,147.94921875,-3.406627860405364,-3.143452579657611,-2.774289500310209
SIP D/A-A/D,148.4375,-3.326106584310713,-3.066826028744076,-2.6995694532420123
SIP D/A-A/D,148.92578125,-3.2460394085210424,-2.990667114899616,-2.625298481710039
SIP D/A-A/D,149.4140625,-3.1664262292919876,-2.914974454008084,-2.551475109804473
SIP D/A-A/D,149.90234375,-3.0872669062068576,-2.8397466630120536,-2.478097872715092
SIP D/A-A/D,150.390625,-3.0126714142033797,-2.764982360240079,-2.405165316749767
SIP D/A-A/D,150.87890625,-2.9399892770771436,-2.6906801657192863,-2.332675999346465
SIP D/A-A/D,151.3671875,-2.867762968820774,-2.616838701473743,-2.2606284890789974
SIP D/A-A/D,151.85546875,-2.7959903239475046,-2.5434565918091043,-2.1890213656569832
SIP D/A-A/D,152.34375,-2.7246691992993095,-2.4705324635840644,-2.1178532199201223
SIP D/A-A/D,152.83203125,-2.653797474021139,-2.398064946469027,-2.0471226538272562
